stage,track_id,split,predicted_label,crop_path,frame_confidence,total_frames_available,true_label
broad,67,train,Tractor,broad/train/_unlabeled/track_000067.jpg,0.7683,8,
broad,68,train,Tractor,broad/train/_unlabeled/track_000068.jpg,0.8659,6,
broad,70,test,Tractor,broad/test/_unlabeled/track_000070.jpg,0.7684,13,
broad,71,train,Tractor,broad/train/_unlabeled/track_000071.jpg,0.8607,6,
broad,74,test,Goods 3 Wheeler,broad/test/_unlabeled/track_000074.jpg,0.7682,14,
broad,76,test,Goods 3 Wheeler,broad/test/_unlabeled/track_000076.jpg,0.6145,11,
broad,121,train,3 Axle Truck,broad/train/_unlabeled/track_000121.jpg,0.8662,17,
broad,151,train,Goods 3 Wheeler,broad/train/goods_3_wheeler/track_000151.jpg,0.5844,2,Goods 3 Wheeler
broad,158,train,Goods 3 Wheeler,broad/train/goods_3_wheeler/track_000158.jpg,0.7607,1,Goods 3 Wheeler
broad,160,train,Goods 3 Wheeler,broad/train/goods_3_wheeler/track_000160.jpg,0.5347,2,Goods 3 Wheeler
broad,162,train,Goods 3 Wheeler,broad/train/goods_3_wheeler/track_000162.jpg,0.6466,3,Goods 3 Wheeler
broad,166,test,Tractor,broad/test/_unlabeled/track_000166.jpg,0.6122,6,
broad,176,val,Goods 3 Wheeler,broad/val/_unlabeled/track_000176.jpg,0.7679,46,
broad,177,train,Goods 3 Wheeler,broad/train/_unlabeled/track_000177.jpg,0.9017,27,
broad,179,train,Goods 3 Wheeler,broad/train/_unlabeled/track_000179.jpg,0.7992,35,
broad,187,train,Tractor,broad/train/_unlabeled/track_000187.jpg,0.6329,2,
broad,205,test,Mini LCV,broad/test/_unlabeled/track_000205.jpg,0.4899,3,
broad,213,val,Tractor,broad/val/_unlabeled/track_000213.jpg,0.7758,23,
broad,231,train,Tractor,broad/train/_unlabeled/track_000231.jpg,0.899,31,
broad,232,train,Goods 3 Wheeler,broad/train/_unlabeled/track_000232.jpg,0.7903,8,
broad,233,val,Goods 3 Wheeler,broad/val/_unlabeled/track_000233.jpg,0.9184,29,
broad,234,train,Tractor,broad/train/_unlabeled/track_000234.jpg,0.827,27,
broad,240,train,Tractor,broad/train/_unlabeled/track_000240.jpg,0.849,39,
broad,241,train,Tractor,broad/train/_unlabeled/track_000241.jpg,0.8435,11,
broad,285,train,Goods 3 Wheeler,broad/train/_unlabeled/track_000285.jpg,0.8851,33,
broad,286,train,Tractor,broad/train/mini_lcv/track_000286.jpg,0.8195,5,Mini LCV
broad,323,train,Tractor,broad/train/goods_3_wheeler/track_000323.jpg,0.6636,2,Goods 3 Wheeler
broad,324,train,Tractor,broad/train/goods_3_wheeler/track_000324.jpg,0.6308,3,Goods 3 Wheeler
broad,360,train,Goods 3 Wheeler,broad/train/goods_3_wheeler/track_000360.jpg,0.5568,1,Goods 3 Wheeler
broad,411,train,Tractor,broad/train/_unlabeled/track_000411.jpg,0.8404,10,
broad,412,test,Tractor,broad/test/_unlabeled/track_000412.jpg,0.8326,13,
broad,414,train,Tractor,broad/train/_unlabeled/track_000414.jpg,0.8341,8,
broad,415,test,Tractor,broad/test/_unlabeled/track_000415.jpg,0.8103,6,
broad,416,train,Goods 3 Wheeler,broad/train/_unlabeled/track_000416.jpg,0.8454,29,
broad,467,test,Goods 3 Wheeler,broad/test/not_goods_vehicle_auto_three_wheeler/track_000467.jpg,0.7162,7,Not Goods Vehicle: Auto/Three-wheeler
broad,491,train,Goods 3 Wheeler,broad/train/_unlabeled/track_000491.jpg,0.7734,21,
broad,492,train,Tractor,broad/train/_unlabeled/track_000492.jpg,0.8357,22,
broad,496,train,Tractor,broad/train/_unlabeled/track_000496.jpg,0.8409,12,
broad,500,train,Goods 3 Wheeler,broad/train/_unlabeled/track_000500.jpg,0.6815,12,
broad,538,train,Tractor,broad/train/_unlabeled/track_000538.jpg,0.9194,81,
broad,540,train,Tractor,broad/train/_unlabeled/track_000540.jpg,0.7829,3,
broad,552,val,Goods 3 Wheeler,broad/val/_unlabeled/track_000552.jpg,0.8202,7,
broad,635,train,Tractor,broad/train/goods_3_wheeler/track_000635.jpg,0.8033,10,Goods 3 Wheeler
broad,670,train,Goods 3 Wheeler,broad/train/not_goods_vehicle_auto_three_wheeler/track_000670.jpg,0.6491,14,Not Goods Vehicle: Auto/Three-wheeler
broad,704,test,Tractor,broad/test/goods_3_wheeler/track_000704.jpg,0.583,2,Goods 3 Wheeler
broad,731,test,Tractor,broad/test/_unlabeled/track_000731.jpg,0.7334,7,
broad,779,train,Tractor,broad/train/_unlabeled/track_000779.jpg,0.6401,8,
broad,780,train,Tractor,broad/train/_unlabeled/track_000780.jpg,0.6507,4,
broad,804,test,Goods 3 Wheeler,broad/test/_unlabeled/track_000804.jpg,0.7785,10,
broad,824,train,Tractor,broad/train/_unlabeled/track_000824.jpg,0.7418,16,
broad,825,train,Tractor,broad/train/_unlabeled/track_000825.jpg,0.5097,2,
broad,826,test,Mini LCV,broad/test/_unlabeled/track_000826.jpg,0.852,29,
broad,827,train,Goods 3 Wheeler,broad/train/_unlabeled/track_000827.jpg,0.8492,28,
broad,828,train,Goods 3 Wheeler,broad/train/_unlabeled/track_000828.jpg,0.6895,8,
broad,872,val,Tractor,broad/val/_unlabeled/track_000872.jpg,0.7,11,
broad,912,train,Tractor,broad/train/goods_3_wheeler/track_000912.jpg,0.5557,5,Goods 3 Wheeler
broad,977,train,Tractor,broad/train/goods_3_wheeler/track_000977.jpg,0.6858,5,Goods 3 Wheeler
broad,1046,train,Tractor,broad/train/goods_3_wheeler/track_001046.jpg,0.5116,1,Goods 3 Wheeler
broad,1057,val,Goods 3 Wheeler,broad/val/_unlabeled/track_001057.jpg,0.8681,58,
broad,1059,train,Tractor,broad/train/_unlabeled/track_001059.jpg,0.8427,15,
broad,1062,train,Tractor,broad/train/_unlabeled/track_001062.jpg,0.762,9,
broad,1074,test,Tractor,broad/test/_unlabeled/track_001074.jpg,0.7526,10,
broad,1077,val,Tractor,broad/val/_unlabeled/track_001077.jpg,0.8331,6,
broad,1078,val,Tractor,broad/val/_unlabeled/track_001078.jpg,0.7364,7,
broad,1079,test,Goods 3 Wheeler,broad/test/_unlabeled/track_001079.jpg,0.7475,16,
broad,1091,train,Tractor,broad/train/_unlabeled/track_001091.jpg,0.8924,36,
broad,1103,test,Tractor,broad/test/_unlabeled/track_001103.jpg,0.6115,2,
broad,1138,train,Tractor,broad/train/goods_3_wheeler/track_001138.jpg,0.6643,1,Goods 3 Wheeler
broad,1140,val,Tractor,broad/val/goods_3_wheeler/track_001140.jpg,0.5606,2,Goods 3 Wheeler
broad,1184,val,Tractor,broad/val/goods_3_wheeler/track_001184.jpg,0.7629,20,Goods 3 Wheeler
broad,1222,train,Goods 3 Wheeler,broad/train/goods_3_wheeler/track_001222.jpg,0.5451,2,Goods 3 Wheeler
broad,1242,train,Tractor,broad/train/_unlabeled/track_001242.jpg,0.7935,6,
broad,1245,train,Tractor,broad/train/_unlabeled/track_001245.jpg,0.8043,4,
broad,1246,val,Tractor,broad/val/_unlabeled/track_001246.jpg,0.9349,24,
broad,1258,val,Goods 3 Wheeler,broad/val/_unlabeled/track_001258.jpg,0.6828,4,
broad,1260,train,Tractor,broad/train/_unlabeled/track_001260.jpg,0.7231,6,
broad,1261,val,Tractor,broad/val/_unlabeled/track_001261.jpg,0.8695,27,
broad,1262,train,Tractor,broad/train/_unlabeled/track_001262.jpg,0.6959,6,
broad,1303,train,Tractor,broad/train/_unlabeled/track_001303.jpg,0.8211,4,
broad,1304,train,Tractor,broad/train/_unlabeled/track_001304.jpg,0.9105,3,
broad,1307,train,Goods 3 Wheeler,broad/train/_unlabeled/track_001307.jpg,0.8052,20,
broad,1312,train,Goods 3 Wheeler,broad/train/goods_3_wheeler/track_001312.jpg,0.5111,2,Goods 3 Wheeler
broad,1318,train,Tractor,broad/train/goods_3_wheeler/track_001318.jpg,0.5621,3,Goods 3 Wheeler
broad,1324,test,Mini LCV,broad/test/goods_3_wheeler/track_001324.jpg,0.5292,1,Goods 3 Wheeler
broad,1458,val,Tractor,broad/val/_unlabeled/track_001458.jpg,0.8517,12,
broad,1459,train,Goods 3 Wheeler,broad/train/_unlabeled/track_001459.jpg,0.8057,2,
broad,1462,train,Tractor,broad/train/_unlabeled/track_001462.jpg,0.6694,2,
broad,1466,test,Tractor,broad/test/_unlabeled/track_001466.jpg,0.8507,9,
broad,1468,train,Tractor,broad/train/_unlabeled/track_001468.jpg,0.7892,32,
broad,1469,train,Tractor,broad/train/_unlabeled/track_001469.jpg,0.8054,4,
broad,1496,val,Goods 3 Wheeler,broad/val/_unlabeled/track_001496.jpg,0.8803,107,
broad,1497,train,Tractor,broad/train/_unlabeled/track_001497.jpg,0.8375,22,
broad,1498,train,Tractor,broad/train/_unlabeled/track_001498.jpg,0.8888,24,
broad,1501,train,Tractor,broad/train/_unlabeled/track_001501.jpg,0.8729,17,
broad,1535,train,Tractor,broad/train/_unlabeled/track_001535.jpg,0.7084,10,
broad,1549,train,Goods 3 Wheeler,broad/train/_unlabeled/track_001549.jpg,0.6591,16,
broad,1551,train,Goods 3 Wheeler,broad/train/_unlabeled/track_001551.jpg,0.5459,14,
broad,1552,train,Tractor,broad/train/_unlabeled/track_001552.jpg,0.7962,23,
broad,1557,train,Tractor,broad/train/_unlabeled/track_001557.jpg,0.8624,56,
broad,1558,train,Tractor,broad/train/_unlabeled/track_001558.jpg,0.714,9,
broad,1559,train,Tractor,broad/train/_unlabeled/track_001559.jpg,0.646,6,
broad,1562,train,Goods 3 Wheeler,broad/train/_unlabeled/track_001562.jpg,0.8763,16,
broad,1565,train,Tractor,broad/train/_unlabeled/track_001565.jpg,0.8835,11,
broad,1566,train,Tractor,broad/train/_unlabeled/track_001566.jpg,0.6588,2,
broad,1571,train,LCV,broad/train/_unlabeled/track_001571.jpg,0.5535,7,
broad,1574,test,Tractor,broad/test/_unlabeled/track_001574.jpg,0.7644,3,
broad,1575,train,Tractor,broad/train/_unlabeled/track_001575.jpg,0.8637,4,
broad,1696,test,Mini LCV,broad/test/goods_3_wheeler/track_001696.jpg,0.9119,23,Goods 3 Wheeler
broad,1739,train,Tractor,broad/train/_unlabeled/track_001739.jpg,0.7587,16,
broad,1741,train,Tractor,broad/train/_unlabeled/track_001741.jpg,0.7908,26,
broad,1742,test,Mini LCV,broad/test/_unlabeled/track_001742.jpg,0.9245,189,
broad,1794,val,Tractor,broad/val/_unlabeled/track_001794.jpg,0.8638,10,
broad,1795,val,Tractor,broad/val/_unlabeled/track_001795.jpg,0.7979,9,
broad,1796,train,Goods 3 Wheeler,broad/train/_unlabeled/track_001796.jpg,0.8977,35,
broad,1797,test,Tractor,broad/test/_unlabeled/track_001797.jpg,0.8349,10,
broad,1799,train,Goods 3 Wheeler,broad/train/_unlabeled/track_001799.jpg,0.8239,4,
broad,1801,train,Goods 3 Wheeler,broad/train/_unlabeled/track_001801.jpg,0.5948,1,
broad,1806,train,Tractor,broad/train/_unlabeled/track_001806.jpg,0.6848,9,
broad,1807,train,Tractor,broad/train/_unlabeled/track_001807.jpg,0.5773,2,
broad,1810,train,Tractor,broad/train/_unlabeled/track_001810.jpg,0.5394,1,
broad,1848,train,Mini LCV,broad/train/goods_3_wheeler/track_001848.jpg,0.7282,13,Goods 3 Wheeler
broad,1875,train,Tractor,broad/train/_unlabeled/track_001875.jpg,0.7602,11,
broad,1876,train,Goods 3 Wheeler,broad/train/_unlabeled/track_001876.jpg,0.7766,9,
broad,1877,val,Tractor,broad/val/_unlabeled/track_001877.jpg,0.7893,7,
broad,1880,val,Goods 3 Wheeler,broad/val/_unlabeled/track_001880.jpg,0.7568,42,
broad,1914,test,Tractor,broad/test/_unlabeled/track_001914.jpg,0.8084,68,
broad,1919,train,Tractor,broad/train/_unlabeled/track_001919.jpg,0.7814,53,
broad,1920,train,Goods 3 Wheeler,broad/train/_unlabeled/track_001920.jpg,0.8178,28,
broad,1921,val,Goods 3 Wheeler,broad/val/_unlabeled/track_001921.jpg,0.7926,24,
broad,1926,train,Tractor,broad/train/_unlabeled/track_001926.jpg,0.7244,58,
broad,1986,train,Goods 3 Wheeler,broad/train/_unlabeled/track_001986.jpg,0.8791,12,
broad,1987,train,Tractor,broad/train/_unlabeled/track_001987.jpg,0.8961,13,
broad,1988,train,Tractor,broad/train/_unlabeled/track_001988.jpg,0.8811,12,
broad,1990,train,Tractor,broad/train/_unlabeled/track_001990.jpg,0.8659,13,
broad,1991,train,Tractor,broad/train/_unlabeled/track_001991.jpg,0.9339,47,
broad,2003,train,Goods 3 Wheeler,broad/train/_unlabeled/track_002003.jpg,0.8869,128,
broad,2004,train,Goods 3 Wheeler,broad/train/_unlabeled/track_002004.jpg,0.8431,27,
broad,2006,train,Tractor,broad/train/_unlabeled/track_002006.jpg,0.8387,21,
broad,2010,train,Tractor,broad/train/_unlabeled/track_002010.jpg,0.8889,25,
broad,2012,train,Tractor,broad/train/_unlabeled/track_002012.jpg,0.8336,15,
broad,2025,train,Goods 3 Wheeler,broad/train/_unlabeled/track_002025.jpg,0.6175,7,
broad,2026,train,Goods 3 Wheeler,broad/train/_unlabeled/track_002026.jpg,0.711,7,
broad,2030,train,Tractor,broad/train/_unlabeled/track_002030.jpg,0.895,16,
broad,2034,val,Tractor,broad/val/_unlabeled/track_002034.jpg,0.8589,24,
broad,2035,val,Tractor,broad/val/_unlabeled/track_002035.jpg,0.8905,19,
broad,2040,test,Tractor,broad/test/_unlabeled/track_002040.jpg,0.9078,54,
broad,2043,train,Goods 3 Wheeler,broad/train/_unlabeled/track_002043.jpg,0.5561,11,
broad,2044,train,Goods 3 Wheeler,broad/train/_unlabeled/track_002044.jpg,0.7191,3,
broad,2049,val,Tractor,broad/val/_unlabeled/track_002049.jpg,0.7438,11,
broad,2050,train,Tractor,broad/train/_unlabeled/track_002050.jpg,0.7393,5,
broad,2051,train,Tractor,broad/train/_unlabeled/track_002051.jpg,0.8731,31,
broad,2176,train,Goods 3 Wheeler,broad/train/_unlabeled/track_002176.jpg,0.7435,23,
broad,2180,train,Tractor,broad/train/_unlabeled/track_002180.jpg,0.8946,8,
