2026-08-28 11:05:34 [INFO] uvh_test.main: Processing video: work/converted/tvc5_gokul_rd_cam1_20260716_0815-0922.mp4
2026-08-28 11:05:34 [INFO] uvh_test.detector: Loading YOLO model from /storage/users/oauser/mvsa/models/UVH-26/weights/YOLOv11-S/UVH-26-MV-YOLOv11-S.pt
2026-08-28 11:05:34 [INFO] uvh_test.detector: Loaded 14 classes.
2026-08-28 11:05:34 [INFO] uvh_test.main: Native video FPS: 24.956527622975955
2026-08-28 11:05:34 [INFO] uvh_test.main: Configured processing_fps: 8
2026-08-28 11:05:34 [INFO] uvh_test.main: Frames will be skipped to match processing_fps.
2026-08-28 11:05:37 [WARNING] uvh_test.main: OCR failed to extract time from first frame. Using config default.
2026-08-28 11:05:40 [DEBUG] uvh_test.main: frame=125 raw_class=Two-wheeler raw_conf=0.819 kept_by_bytetrack=True track_id=1
2026-08-28 11:05:41 [DEBUG] uvh_test.main: frame=128 raw_class=Two-wheeler raw_conf=0.650 kept_by_bytetrack=False track_id=None
2026-08-28 11:05:41 [DEBUG] uvh_test.main: frame=132 raw_class=Two-wheeler raw_conf=0.743 kept_by_bytetrack=True track_id=2
2026-08-28 11:05:41 [DEBUG] uvh_test.main: frame=132 raw_class=Hatchback raw_conf=0.459 kept_by_bytetrack=False track_id=None
2026-08-28 11:05:41 [DEBUG] uvh_test.main: frame=135 raw_class=Two-wheeler raw_conf=0.875 kept_by_bytetrack=True track_id=2
2026-08-28 11:05:41 [DEBUG] uvh_test.main: frame=138 raw_class=Two-wheeler raw_conf=0.902 kept_by_bytetrack=True track_id=2
2026-08-28 11:05:41 [DEBUG] uvh_test.counter: track_id: 2, frame: 138, previous_bottom_center: (979.616455078125, 545.70996), current_bottom_center: (1201.29931640625, 482.46448), previous_side: 42.91, current_side: -143.66, side_transition: True, crossing_result: True, direction: B_TO_A
2026-08-28 11:05:41 [DEBUG] uvh_test.main: frame=138 COUNTED track_id=2 class=Two-wheeler direction=B_TO_A
2026-08-28 11:05:41 [DEBUG] uvh_test.main: frame=141 raw_class=Two-wheeler raw_conf=0.904 kept_by_bytetrack=True track_id=2
2026-08-28 11:05:41 [DEBUG] uvh_test.main: frame=144 raw_class=Two-wheeler raw_conf=0.907 kept_by_bytetrack=True track_id=2
2026-08-28 11:05:41 [DEBUG] uvh_test.main: frame=147 raw_class=Two-wheeler raw_conf=0.898 kept_by_bytetrack=True track_id=2
2026-08-28 11:05:41 [DEBUG] uvh_test.main: frame=150 raw_class=Two-wheeler raw_conf=0.860 kept_by_bytetrack=True track_id=2
2026-08-28 11:05:41 [DEBUG] uvh_test.main: frame=153 raw_class=Two-wheeler raw_conf=0.878 kept_by_bytetrack=True track_id=2
2026-08-28 11:05:41 [DEBUG] uvh_test.main: frame=156 raw_class=Two-wheeler raw_conf=0.843 kept_by_bytetrack=True track_id=2
2026-08-28 11:05:41 [DEBUG] uvh_test.main: frame=160 raw_class=Two-wheeler raw_conf=0.871 kept_by_bytetrack=True track_id=2
2026-08-28 11:05:41 [DEBUG] uvh_test.main: frame=163 raw_class=Two-wheeler raw_conf=0.827 kept_by_bytetrack=True track_id=2
2026-08-28 11:05:41 [DEBUG] uvh_test.main: frame=166 raw_class=Two-wheeler raw_conf=0.827 kept_by_bytetrack=True track_id=2
2026-08-28 11:05:41 [DEBUG] uvh_test.main: frame=169 raw_class=Two-wheeler raw_conf=0.778 kept_by_bytetrack=True track_id=2
2026-08-28 11:05:41 [DEBUG] uvh_test.main: frame=172 raw_class=Two-wheeler raw_conf=0.768 kept_by_bytetrack=True track_id=2
2026-08-28 11:05:41 [DEBUG] uvh_test.main: frame=175 raw_class=Two-wheeler raw_conf=0.613 kept_by_bytetrack=True track_id=2
2026-08-28 11:05:41 [DEBUG] uvh_test.main: frame=178 raw_class=Two-wheeler raw_conf=0.507 kept_by_bytetrack=True track_id=2
2026-08-28 11:05:41 [DEBUG] uvh_test.main: frame=181 raw_class=Two-wheeler raw_conf=0.732 kept_by_bytetrack=True track_id=2
2026-08-28 11:05:41 [DEBUG] uvh_test.main: frame=185 raw_class=Two-wheeler raw_conf=0.700 kept_by_bytetrack=True track_id=2
2026-08-28 11:05:41 [DEBUG] uvh_test.main: frame=188 raw_class=Two-wheeler raw_conf=0.750 kept_by_bytetrack=True track_id=2
2026-08-28 11:05:41 [DEBUG] uvh_test.main: frame=191 raw_class=Two-wheeler raw_conf=0.439 kept_by_bytetrack=True track_id=2
2026-08-28 11:05:41 [DEBUG] uvh_test.main: frame=194 raw_class=Two-wheeler raw_conf=0.512 kept_by_bytetrack=True track_id=2
