2026-08-28 12:01:44 [INFO] uvh_test.main: Processing video: work/converted/tvc5_gokul_rd_cam1_20260716_0900-0945.mp4
2026-08-28 12:01:44 [INFO] uvh_test.detector: Loading YOLO model from /storage/users/oauser/mvsa/models/UVH-26/weights/YOLOv11-S/UVH-26-MV-YOLOv11-S.pt
2026-08-28 12:01:44 [INFO] uvh_test.detector: Loaded 14 classes.
2026-08-28 12:01:44 [INFO] uvh_test.main: Native video FPS: 24.954505964773507
2026-08-28 12:01:44 [INFO] uvh_test.main: Configured processing_fps: 8
2026-08-28 12:01:44 [INFO] uvh_test.main: Frames will be skipped to match processing_fps.
2026-08-28 12:01:47 [WARNING] uvh_test.main: OCR failed to extract time from first frame. Using config default.
2026-08-28 12:01:50 [DEBUG] uvh_test.main: frame=63 raw_class=Hatchback raw_conf=0.529 kept_by_bytetrack=True track_id=1
2026-08-28 12:01:50 [DEBUG] uvh_test.main: frame=63 raw_class=Hatchback raw_conf=0.501 kept_by_bytetrack=True track_id=2
2026-08-28 12:01:50 [DEBUG] uvh_test.main: frame=63 raw_class=Hatchback raw_conf=0.500 kept_by_bytetrack=False track_id=None
2026-08-28 12:01:50 [DEBUG] uvh_test.main: frame=66 raw_class=Two-wheeler raw_conf=0.844 kept_by_bytetrack=False track_id=None
2026-08-28 12:01:50 [DEBUG] uvh_test.counter: track_id: 1, frame: 66, previous_bottom_center: (1077.07373046875, 1031.6667), current_bottom_center: (1412.568603515625, 769.4178), previous_side: 365.15, current_side: -48.24, side_transition: True, crossing_result: True, direction: B_TO_A
2026-08-28 12:01:50 [DEBUG] uvh_test.main: frame=66 COUNTED track_id=1 class=Two-wheeler direction=B_TO_A
2026-08-28 12:01:50 [DEBUG] uvh_test.main: frame=69 raw_class=Two-wheeler raw_conf=0.910 kept_by_bytetrack=True track_id=1
2026-08-28 12:01:50 [DEBUG] uvh_test.main: frame=72 raw_class=Two-wheeler raw_conf=0.898 kept_by_bytetrack=True track_id=1
2026-08-28 12:01:50 [DEBUG] uvh_test.main: frame=75 raw_class=Two-wheeler raw_conf=0.898 kept_by_bytetrack=True track_id=1
2026-08-28 12:01:50 [DEBUG] uvh_test.main: frame=78 raw_class=Two-wheeler raw_conf=0.879 kept_by_bytetrack=True track_id=1
