timestamp_or_frame,class,count,direction,track_id
8,Two-wheeler,1,B_TO_A,1
95,Two-wheeler,1,B_TO_A,6
120,Two-wheeler,1,A_TO_B,9
174,Two-wheeler,1,B_TO_A,13
417,Sedan,1,B_TO_A,17
430,Two-wheeler,1,B_TO_A,18
454,Two-wheeler,1,A_TO_B,19
555,Three-wheeler,1,B_TO_A,21
1114,Two-wheeler,1,B_TO_A,24
1273,Hatchback,1,B_TO_A,27
1470,Hatchback,1,B_TO_A,31
1661,Two-wheeler,1,B_TO_A,36
1674,Two-wheeler,1,B_TO_A,39
1696,Two-wheeler,1,A_TO_B,44
1845,Two-wheeler,1,B_TO_A,46
1953,Two-wheeler,1,B_TO_A,48
1971,Two-wheeler,1,B_TO_A,49
2149,Hatchback,1,B_TO_A,54
2161,Two-wheeler,1,B_TO_A,55
2179,Two-wheeler,1,B_TO_A,58
2200,Two-wheeler,1,B_TO_A,64
2246,Bus,1,B_TO_A,72
2385,Two-wheeler,1,B_TO_A,78
2851,Two-wheeler,1,B_TO_A,80
2859,Hatchback,1,B_TO_A,83
2879,MUV,1,B_TO_A,86
2906,SUV,1,B_TO_A,92
2939,MUV,1,B_TO_A,98
3051,Two-wheeler,1,B_TO_A,111
3160,Two-wheeler,1,B_TO_A,116
3294,LCV,1,B_TO_A,121
3330,Sedan,1,B_TO_A,126
3344,Truck,1,B_TO_A,129
3354,Two-wheeler,1,B_TO_A,130
3370,Two-wheeler,1,B_TO_A,132
3385,Two-wheeler,1,B_TO_A,136
3386,Two-wheeler,1,B_TO_A,137
3416,Two-wheeler,1,B_TO_A,145
3465,SUV,1,B_TO_A,146
3775,Two-wheeler,1,B_TO_A,150
3850,LCV,1,B_TO_A,158
3996,Two-wheeler,1,B_TO_A,162
4121,Two-wheeler,1,B_TO_A,165
4238,Two-wheeler,1,B_TO_A,164
4522,Sedan,1,B_TO_A,178
4616,Two-wheeler,1,B_TO_A,181
4635,Two-wheeler,1,B_TO_A,185
4967,Truck,1,B_TO_A,196
5020,Two-wheeler,1,B_TO_A,199
5141,Two-wheeler,1,B_TO_A,201
5233,Two-wheeler,1,B_TO_A,203
5242,Sedan,1,B_TO_A,204
5276,Two-wheeler,1,B_TO_A,211
5310,Two-wheeler,1,B_TO_A,213
5327,Two-wheeler,1,A_TO_B,217
5335,Hatchback,1,B_TO_A,214
5712,Two-wheeler,1,B_TO_A,220
5719,Two-wheeler,1,B_TO_A,224
5742,Two-wheeler,1,A_TO_B,226
5973,Two-wheeler,1,B_TO_A,230
6158,SUV,1,B_TO_A,233
6289,Two-wheeler,1,B_TO_A,239
6322,Sedan,1,B_TO_A,242
6322,Two-wheeler,1,B_TO_A,241
6341,Two-wheeler,1,B_TO_A,240
6399,Two-wheeler,1,B_TO_A,250
6427,Truck,1,B_TO_A,254
6478,Bus,1,B_TO_A,261
6523,MUV,1,B_TO_A,262
6606,Two-wheeler,1,B_TO_A,270
6844,Bus,1,B_TO_A,275
6873,Two-wheeler,1,A_TO_B,283
6918,Two-wheeler,1,B_TO_A,284
6981,MUV,1,B_TO_A,293
7044,Two-wheeler,1,B_TO_A,292
7218,LCV,1,B_TO_A,299
7229,SUV,1,B_TO_A,302
7268,Two-wheeler,1,B_TO_A,305
7269,SUV,1,B_TO_A,306
7287,Two-wheeler,1,A_TO_B,307
7462,SUV,1,B_TO_A,313
7488,Two-wheeler,1,B_TO_A,317
7507,Three-wheeler,1,B_TO_A,319
7510,Sedan,1,B_TO_A,322
7728,Van,1,B_TO_A,329
7764,Two-wheeler,1,B_TO_A,333
7764,Two-wheeler,1,B_TO_A,335
7788,Two-wheeler,1,B_TO_A,340
7795,Two-wheeler,1,A_TO_B,341
7853,Two-wheeler,1,B_TO_A,334
8013,Two-wheeler,1,B_TO_A,352
8019,Two-wheeler,1,B_TO_A,355
8032,Two-wheeler,1,B_TO_A,356
8040,Two-wheeler,1,A_TO_B,359
8044,Two-wheeler,1,B_TO_A,357
8182,Two-wheeler,1,B_TO_A,366
8377,Two-wheeler,1,B_TO_A,369
8394,Two-wheeler,1,A_TO_B,370
8455,Bus,1,B_TO_A,376
8476,Two-wheeler,1,B_TO_A,381
8501,Two-wheeler,1,A_TO_B,386
8703,Two-wheeler,1,B_TO_A,393
8718,Two-wheeler,1,B_TO_A,394
8743,Two-wheeler,1,A_TO_B,396
8804,Two-wheeler,1,B_TO_A,399
8818,Two-wheeler,1,B_TO_A,398
8855,Two-wheeler,1,B_TO_A,401
8859,MUV,1,B_TO_A,405
8998,Two-wheeler,1,B_TO_A,408
9184,Hatchback,1,B_TO_A,415
9206,Two-wheeler,1,B_TO_A,417
9229,Two-wheeler,1,A_TO_B,423
9258,Two-wheeler,1,B_TO_A,432
9336,SUV,1,B_TO_A,440
9499,LCV,1,B_TO_A,443
9500,Van,1,B_TO_A,444
9613,Sedan,1,B_TO_A,447
9684,Hatchback,1,B_TO_A,450
9684,Sedan,1,B_TO_A,449
9778,tempo-traveller,1,B_TO_A,454
9907,MUV,1,B_TO_A,456
10000,Two-wheeler,1,B_TO_A,463
10020,Sedan,1,B_TO_A,465
10105,SUV,1,B_TO_A,475
10109,Two-wheeler,1,B_TO_A,473
10371,Three-wheeler,1,B_TO_A,483
10422,SUV,1,B_TO_A,486
10495,Two-wheeler,1,B_TO_A,490
10506,Sedan,1,B_TO_A,492
10512,Two-wheeler,1,A_TO_B,495
10531,Two-wheeler,1,B_TO_A,494
10544,SUV,1,B_TO_A,501
10545,Two-wheeler,1,B_TO_A,497
10649,SUV,1,B_TO_A,508
10774,Sedan,1,B_TO_A,510
10842,MUV,1,B_TO_A,516
10884,SUV,1,B_TO_A,519
10912,Hatchback,1,B_TO_A,527
11069,Two-wheeler,1,B_TO_A,533
11135,Hatchback,1,B_TO_A,537
11189,Truck,1,B_TO_A,541
11312,Hatchback,1,B_TO_A,543
11575,MUV,1,B_TO_A,546
11645,Two-wheeler,1,B_TO_A,553
11655,Two-wheeler,1,B_TO_A,552
12006,Bus,1,B_TO_A,555
