timestamp_or_frame,class,count,direction,track_id
82,Two-wheeler,1,B_TO_A,8
112,Two-wheeler,1,B_TO_A,12
182,Two-wheeler,1,B_TO_A,10
230,Two-wheeler,1,B_TO_A,14
263,Two-wheeler,1,B_TO_A,18
272,Two-wheeler,1,B_TO_A,20
290,Two-wheeler,1,B_TO_A,27
328,Two-wheeler,1,B_TO_A,29
432,Two-wheeler,1,B_TO_A,35
442,Two-wheeler,1,A_TO_B,26
704,Van,1,B_TO_A,44
795,Two-wheeler,1,B_TO_A,49
808,Two-wheeler,1,A_TO_B,51
844,Two-wheeler,1,B_TO_A,52
920,SUV,1,B_TO_A,55
1098,Two-wheeler,1,B_TO_A,60
1129,Two-wheeler,1,B_TO_A,62
1138,Two-wheeler,1,B_TO_A,63
1152,Two-wheeler,1,A_TO_B,70
1210,Two-wheeler,1,B_TO_A,76
1300,Two-wheeler,1,B_TO_A,75
1438,Sedan,1,B_TO_A,85
1618,Two-wheeler,1,B_TO_A,88
1633,Two-wheeler,1,A_TO_B,89
1721,SUV,1,B_TO_A,92
1935,Three-wheeler,1,B_TO_A,95
1984,LCV,1,B_TO_A,98
2004,MUV,1,B_TO_A,99
2011,Two-wheeler,1,B_TO_A,103
2024,Hatchback,1,B_TO_A,108
2041,Two-wheeler,1,B_TO_A,105
2041,Two-wheeler,1,B_TO_A,119
2059,SUV,1,B_TO_A,122
2075,Two-wheeler,1,A_TO_B,129
2080,Two-wheeler,1,B_TO_A,125
2123,Two-wheeler,1,B_TO_A,131
2174,Two-wheeler,1,B_TO_A,123
2221,Hatchback,1,B_TO_A,140
2269,Hatchback,1,B_TO_A,145
2280,Hatchback,1,A_TO_B,144
2424,Two-wheeler,1,B_TO_A,148
2454,Two-wheeler,1,B_TO_A,150
2464,Two-wheeler,1,B_TO_A,154
2693,Two-wheeler,1,B_TO_A,162
2715,Hatchback,1,B_TO_A,164
2716,Two-wheeler,1,B_TO_A,170
2751,Truck,1,B_TO_A,171
3025,Two-wheeler,1,B_TO_A,181
3240,Two-wheeler,1,B_TO_A,189
3257,Two-wheeler,1,B_TO_A,191
3277,Two-wheeler,1,A_TO_B,199
3277,Two-wheeler,1,B_TO_A,193
3286,Two-wheeler,1,B_TO_A,202
3301,Two-wheeler,1,B_TO_A,188
3316,Two-wheeler,1,B_TO_A,207
3390,Two-wheeler,1,B_TO_A,214
3485,Two-wheeler,1,B_TO_A,220
3547,Three-wheeler,1,B_TO_A,224
3644,Two-wheeler,1,B_TO_A,239
3660,Two-wheeler,1,A_TO_B,240
3825,Sedan,1,B_TO_A,244
3825,Two-wheeler,1,B_TO_A,252
3832,Sedan,1,B_TO_A,250
3867,Sedan,1,B_TO_A,245
3920,Two-wheeler,1,B_TO_A,265
3972,Two-wheeler,1,B_TO_A,272
4149,Two-wheeler,1,B_TO_A,279
4185,Two-wheeler,1,B_TO_A,281
4339,SUV,1,B_TO_A,293
4340,Two-wheeler,1,B_TO_A,290
4430,MUV,1,B_TO_A,301
4455,Two-wheeler,1,A_TO_B,309
4459,Two-wheeler,1,B_TO_A,306
4681,MUV,1,B_TO_A,310
4760,Two-wheeler,1,B_TO_A,314
4771,Two-wheeler,1,B_TO_A,318
4794,Two-wheeler,1,B_TO_A,319
4917,Sedan,1,B_TO_A,328
4993,Two-wheeler,1,B_TO_A,331
5082,Two-wheeler,1,B_TO_A,333
5101,Two-wheeler,1,A_TO_B,336
5156,Two-wheeler,1,B_TO_A,341
5401,Two-wheeler,1,B_TO_A,344
5403,SUV,1,B_TO_A,345
5496,tempo-traveller,1,B_TO_A,353
5541,Two-wheeler,1,B_TO_A,361
5561,Two-wheeler,1,B_TO_A,360
5571,Two-wheeler,1,B_TO_A,364
5597,SUV,1,B_TO_A,368
5603,Two-wheeler,1,B_TO_A,367
5630,Two-wheeler,1,B_TO_A,379
5632,Two-wheeler,1,B_TO_A,376
5731,Two-wheeler,1,B_TO_A,382
5883,SUV,1,B_TO_A,385
5921,Two-wheeler,1,B_TO_A,388
5937,Two-wheeler,1,A_TO_B,391
6065,Two-wheeler,1,B_TO_A,398
6078,Two-wheeler,1,A_TO_B,403
6123,Three-wheeler,1,B_TO_A,406
6158,Two-wheeler,1,A_TO_B,414
6177,Two-wheeler,1,B_TO_A,413
6233,Two-wheeler,1,B_TO_A,420
6332,Two-wheeler,1,B_TO_A,426
6446,Two-wheeler,1,B_TO_A,432
6574,Two-wheeler,1,B_TO_A,436
6678,Hatchback,1,B_TO_A,441
6801,Sedan,1,B_TO_A,446
6862,Sedan,1,B_TO_A,448
6958,Two-wheeler,1,B_TO_A,451
7027,Two-wheeler,1,B_TO_A,457
7151,Two-wheeler,1,B_TO_A,459
7168,Two-wheeler,1,B_TO_A,461
7213,LCV,1,B_TO_A,474
7252,LCV,1,B_TO_A,481
7253,Two-wheeler,1,B_TO_A,482
7286,Two-wheeler,1,A_TO_B,485
7432,Hatchback,1,B_TO_A,490
7454,Two-wheeler,1,B_TO_A,486
7527,Two-wheeler,1,B_TO_A,494
7546,Two-wheeler,1,B_TO_A,493
7562,SUV,1,B_TO_A,501
7567,Two-wheeler,1,A_TO_B,502
7572,Two-wheeler,1,A_TO_B,505
7578,Two-wheeler,1,B_TO_A,498
7629,MUV,1,B_TO_A,507
7662,Two-wheeler,1,B_TO_A,513
7803,MUV,1,B_TO_A,526
7831,Two-wheeler,1,B_TO_A,532
7852,Two-wheeler,1,A_TO_B,539
7998,Two-wheeler,1,B_TO_A,542
8122,Two-wheeler,1,B_TO_A,548
8140,Two-wheeler,1,B_TO_A,551
8155,Two-wheeler,1,B_TO_A,555
8158,Two-wheeler,1,B_TO_A,552
8159,Two-wheeler,1,A_TO_B,558
8184,Two-wheeler,1,B_TO_A,562
8218,Two-wheeler,1,B_TO_A,566
8393,Two-wheeler,1,B_TO_A,574
8402,Two-wheeler,1,B_TO_A,571
8424,Two-wheeler,1,B_TO_A,578
8475,Hatchback,1,B_TO_A,586
8498,SUV,1,B_TO_A,589
8524,Two-wheeler,1,B_TO_A,591
8532,Two-wheeler,1,B_TO_A,598
8543,Hatchback,1,A_TO_B,594
8552,SUV,1,B_TO_A,600
8849,Two-wheeler,1,B_TO_A,610
8958,Two-wheeler,1,B_TO_A,613
9070,Two-wheeler,1,B_TO_A,618
9090,Two-wheeler,1,B_TO_A,621
9099,Hatchback,1,B_TO_A,620
9192,Two-wheeler,1,B_TO_A,631
9343,Hatchback,1,B_TO_A,633
9377,SUV,1,B_TO_A,635
9428,Three-wheeler,1,B_TO_A,640
9443,Two-wheeler,1,B_TO_A,642
9490,Two-wheeler,1,B_TO_A,647
9504,Two-wheeler,1,B_TO_A,644
9549,Two-wheeler,1,B_TO_A,652
9599,Two-wheeler,1,B_TO_A,656
9695,Sedan,1,B_TO_A,661
9696,Sedan,1,B_TO_A,662
9754,Three-wheeler,1,B_TO_A,664
9805,Three-wheeler,1,A_TO_B,667
9865,Two-wheeler,1,B_TO_A,668
9915,Two-wheeler,1,B_TO_A,671
9935,SUV,1,B_TO_A,672
9948,Two-wheeler,1,B_TO_A,669
10195,Two-wheeler,1,B_TO_A,680
10244,Two-wheeler,1,B_TO_A,684
10249,Two-wheeler,1,B_TO_A,688
10280,Two-wheeler,1,B_TO_A,693
10290,Two-wheeler,1,B_TO_A,698
10334,Two-wheeler,1,B_TO_A,685
10356,Two-wheeler,1,B_TO_A,713
10390,Two-wheeler,1,A_TO_B,720
10391,Two-wheeler,1,B_TO_A,706
10428,MUV,1,B_TO_A,723
10458,Hatchback,1,B_TO_A,731
10504,Two-wheeler,1,B_TO_A,737
10513,Two-wheeler,1,B_TO_A,742
10535,Two-wheeler,1,A_TO_B,750
10629,Two-wheeler,1,B_TO_A,754
10709,Two-wheeler,1,B_TO_A,759
10753,Two-wheeler,1,B_TO_A,763
10864,Bus,1,B_TO_A,772
10870,Two-wheeler,1,B_TO_A,760
11063,Two-wheeler,1,B_TO_A,786
11086,Two-wheeler,1,B_TO_A,793
11095,Two-wheeler,1,B_TO_A,789
11114,Two-wheeler,1,A_TO_B,798
11154,Sedan,1,B_TO_A,802
11226,Two-wheeler,1,B_TO_A,807
11246,Two-wheeler,1,B_TO_A,812
11255,Two-wheeler,1,B_TO_A,813
11315,Two-wheeler,1,B_TO_A,816
11411,Two-wheeler,1,B_TO_A,823
11435,Two-wheeler,1,B_TO_A,825
11484,Two-wheeler,1,B_TO_A,829
11596,Two-wheeler,1,B_TO_A,835
11674,Two-wheeler,1,B_TO_A,838
11701,Two-wheeler,1,B_TO_A,839
11830,Two-wheeler,1,B_TO_A,846
12022,Two-wheeler,1,B_TO_A,853
12200,Van,1,B_TO_A,856
12356,Two-wheeler,1,B_TO_A,861
12359,SUV,1,B_TO_A,866
12376,Two-wheeler,1,A_TO_B,875
12390,Hatchback,1,B_TO_A,877
12405,Two-wheeler,1,B_TO_A,860
12419,Two-wheeler,1,A_TO_B,879
12435,Two-wheeler,1,B_TO_A,883
12612,Two-wheeler,1,B_TO_A,893
12664,Hatchback,1,B_TO_A,899
12842,Two-wheeler,1,B_TO_A,901
12842,SUV,1,B_TO_A,903
13171,SUV,1,B_TO_A,913
13272,SUV,1,B_TO_A,918
13306,Two-wheeler,1,B_TO_A,924
13307,Hatchback,1,B_TO_A,925
13317,Two-wheeler,1,B_TO_A,922
13421,Two-wheeler,1,B_TO_A,932
13455,Two-wheeler,1,B_TO_A,937
13468,Two-wheeler,1,B_TO_A,936
13600,Bus,1,B_TO_A,949
13626,Two-wheeler,1,A_TO_B,951
13646,SUV,1,B_TO_A,952
13662,Two-wheeler,1,B_TO_A,954
13691,Two-wheeler,1,B_TO_A,958
13717,Three-wheeler,1,B_TO_A,964
13763,Two-wheeler,1,B_TO_A,967
13798,Two-wheeler,1,A_TO_B,968
13881,Three-wheeler,1,B_TO_A,981
13917,Two-wheeler,1,B_TO_A,985
13962,Two-wheeler,1,B_TO_A,992
13995,Two-wheeler,1,B_TO_A,997
14008,Two-wheeler,1,A_TO_B,1001
14033,SUV,1,B_TO_A,1002
14090,Two-wheeler,1,B_TO_A,1010
14192,Two-wheeler,1,B_TO_A,1015
14243,Bus,1,B_TO_A,1017
14290,Two-wheeler,1,B_TO_A,1027
14412,Three-wheeler,1,B_TO_A,1031
14642,Two-wheeler,1,B_TO_A,1034
14739,Two-wheeler,1,B_TO_A,1033
14762,Two-wheeler,1,B_TO_A,1041
14778,Two-wheeler,1,B_TO_A,1043
14813,Two-wheeler,1,B_TO_A,1052
14917,Two-wheeler,1,B_TO_A,1061
14928,Two-wheeler,1,B_TO_A,1060
14932,Two-wheeler,1,A_TO_B,1058
14957,Two-wheeler,1,B_TO_A,1063
15027,Two-wheeler,1,B_TO_A,1070
15084,Two-wheeler,1,B_TO_A,1078
15093,Two-wheeler,1,B_TO_A,1082
15121,Two-wheeler,1,B_TO_A,1090
15261,Hatchback,1,B_TO_A,1092
15291,Bus,1,B_TO_A,1096
15292,tempo-traveller,1,B_TO_A,1093
15332,Two-wheeler,1,B_TO_A,1100
15373,Sedan,1,B_TO_A,1097
15511,Two-wheeler,1,B_TO_A,1114
15531,Two-wheeler,1,A_TO_B,1115
15588,Two-wheeler,1,B_TO_A,1121
15669,Two-wheeler,1,B_TO_A,1123
15711,Two-wheeler,1,B_TO_A,1124
15722,Two-wheeler,1,A_TO_B,1127
15792,Two-wheeler,1,B_TO_A,1129
15966,Bus,1,B_TO_A,1136
15968,Sedan,1,B_TO_A,1142
16021,Two-wheeler,1,B_TO_A,1143
16083,Hatchback,1,B_TO_A,1150
16118,Bus,1,B_TO_A,1151
16258,Two-wheeler,1,B_TO_A,1155
16274,Two-wheeler,1,A_TO_B,1161
16307,Two-wheeler,1,B_TO_A,1163
16364,Two-wheeler,1,B_TO_A,1170
16368,Two-wheeler,1,B_TO_A,1176
16384,Two-wheeler,1,B_TO_A,1167
16495,Two-wheeler,1,B_TO_A,1186
16747,Van,1,B_TO_A,1191
16848,Two-wheeler,1,B_TO_A,1196
16912,Hatchback,1,B_TO_A,1203
17022,SUV,1,B_TO_A,1209
17028,SUV,1,B_TO_A,1210
17028,SUV,1,B_TO_A,1212
17078,Two-wheeler,1,B_TO_A,1218
17099,Bus,1,B_TO_A,1221
17118,Two-wheeler,1,B_TO_A,1224
17134,Two-wheeler,1,B_TO_A,1227
17169,Two-wheeler,1,B_TO_A,1236
17233,Bus,1,B_TO_A,1244
17282,Hatchback,1,B_TO_A,1248
17392,Two-wheeler,1,B_TO_A,1249
17408,Two-wheeler,1,A_TO_B,1251
17432,Two-wheeler,1,B_TO_A,1250
17479,Two-wheeler,1,B_TO_A,1265
17495,Two-wheeler,1,A_TO_B,1266
17540,SUV,1,B_TO_A,1273
17559,SUV,1,B_TO_A,1275
17598,Truck,1,B_TO_A,1283
17713,bicycle,1,B_TO_A,1287
17715,Two-wheeler,1,B_TO_A,1292
17736,Two-wheeler,1,B_TO_A,1295
17781,SUV,1,B_TO_A,1300
17954,Two-wheeler,1,B_TO_A,1303
17970,Two-wheeler,1,A_TO_B,1306
18105,Hatchback,1,B_TO_A,1302
18126,Hatchback,1,B_TO_A,1311
18130,Hatchback,1,B_TO_A,1313
18403,Two-wheeler,1,B_TO_A,1319
18471,Two-wheeler,1,B_TO_A,1324
18476,Hatchback,1,B_TO_A,1325
18499,Two-wheeler,1,B_TO_A,1327
18560,tempo-traveller,1,B_TO_A,1337
18630,Two-wheeler,1,B_TO_A,1340
18656,Two-wheeler,1,B_TO_A,1347
18704,Two-wheeler,1,B_TO_A,1348
